"Link Text","URL"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T514"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T514"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2050 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T449"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T449"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T449"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T449"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T449"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T449"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T449"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2055 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630T274"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630T274"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630T274"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630T274"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630T274"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630T274"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630T274"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds 2060 Target Date Retirement Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631C445"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631C445"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631C445"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631C445"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631C445"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631C445"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631C445"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds® 2065 Target Date Retirement Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631V740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631V740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631V740"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631V740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631V740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631V740"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631V740"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"American Funds® 2070 Target Date Retirement Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02631V583"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02631V583"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02631V583"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02631V583"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02631V583"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02631V583"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02631V583"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1380175&type=N-PX"
"prospectuses and summary prospectuses",""
"Contact Us",""
"","https://www.linkedin.com/company/capital-group"
"","https://twitter.com/CapitalGroup"
"","https://www.facebook.com/CapitalGroup/"
"","https://www.youtube.com/c/capitalgroupvideos"
"","https://www.instagram.com/capitalgroup"
"View portfolio",""
"Statements & tax forms",""
"Sign up for paperless delivery of documents",""
"Mutual fund returns",""
"Traditional/Roth IRAs",""
"Simple IRAs",""
"401(k) plans",""
"CollegeAmerica® 529 plans",""
"Saving for college",""
"Finances after 40",""
"Retirement planning calculator",""
"College savings calculator","https://www.capitalgroup.com/individual/planning/tools/ext/college-savings-calculator"
"Retirement planning",""
"Outlook",""
"Markets & economy",""
"Equity",""
"Fixed income",""
"Co-browse",""
"Investor Welcome Center",""
"Account Updates",""
"Transactions",""
"Find Forms",""
"Submit documents online",""
"Account security",""
"Contact us",""
"Who We Are",""
"Investment Approach",""
"Our History",""
"Our Culture",""
"Global Citizenship",""
"Supplier Inclusion",""
"Newsroom",""
"Careers",""
"Locations",""
"Security & Fraud",""
"Policies & Disclosures",""
"PRIVACY",""
"Account Agreement",""
"Business Continuity",""
"Third-Party Content",""
"Accessibility Statement",""
"Ad Choices",""
"Privacy Policy","https://www.capitalgroup.com/individual/privacy.html"
